IMGT subgroup;IMGT gene name;IMGT full name;Fct;Chromosomal localization;R (rearranged);T (Transcribed);Pr (Translated);Positions in the locus;Strain;Clone names;Accession numbers;REF;Positions in the sequence;Secondary accession numbers;Strain;Clone names;Accession numbers;REF;Positions in the sequence
IGHJ1;IGHJ1*01;IGHJ1*01;F;12 (58.0 cM);+;;;;BALB/c;J1;V00762;[2];;;;;V00759;[1];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;BALB/c;;J00440;[9];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;;;X53774;[6];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;;;X63166;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;AKR;;X63165;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;C58;;X63168;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;CBA;;X63169;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;CE;;X63170;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;DBA/2;;X63171;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;NZB;;X63172;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;RF;;X63173;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;RIII;;X63174;[8];
;IGHJ1*01;IGHJ1*01;;;;;;;;;;;;;129/Sv;JH1;AJ851868;[10];1207553-1207605
;IGHJ1*02;IGHJ1*02;F;12 (58.0 cM);;;;;;J1;V00770;[3];;;;;;;
;IGHJ1*03;IGHJ1*03;F;12 (58.0 cM);;;;;A/J;J1;X63164;[8];;;C57BL/10;;X63167;[8];
;IGHJ1*03;IGHJ1*03;;;;;;;;;;;;;SJL;;X63175;[8];
;IGHJ1*03;IGHJ1*03;;;;;;;;;;;;;C57BL/6J;;AC073553;[13];
IGHJ2;IGHJ2*01;IGHJ2*01;F;12 (58.0 cM);+;;;;;J2;V00770;[3];;;;;V00759;[1];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;BALB/c;;V00762;[2];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;;;J00440;[9];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;;;X53774;[6];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;;;X63166;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;A/J;;X63164;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;AKR;;X63165;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;C57BL/10;;X63167;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;C58;;X63168;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;CBA;;X63169;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;CE;;X63170;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;DBA/2;;X63171;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;NZB;;X63172;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;RF;;X63173;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;RIII;;X63174;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;SJL;;X63175;[8];
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;129/Sv;JH2;AJ851868;[10];1207871-1207918
;IGHJ2*01;IGHJ2*01;;;;;;;;;;;;;C57BL/6J;;AC073553;[13];
;IGHJ2*02;IGHJ2*02;F;;;;;;;JH2;S73821;[11];;;;;;;
;IGHJ2*03;IGHJ2*03;F;;+;;;;;JH2;S77041;[12];;;;;;;
IGHJ3;IGHJ3*01;IGHJ3*01;F;12 (58.0 cM);+;;;;;J3;V00770;[3];;;BALB/c;;V00762;[2];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;J00440;[9];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;M28190;[5];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;X53774;[6];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;X63166;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;M17064;[4];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;M17065;[4];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;M17066;[4];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;A/J;;X63164;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;AKR;;X63165;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;C57BL/10;;X63167;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;C58;;X63168;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;CBA;;X63169;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;CE;;X63170;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;DBA/2;;X63171;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;NZB;;X63172;[8];
